provincia,percent_dig
AG,5.84
AL,6.98
AN,10.37
AO,5.73
AP,5.33
AQ,21.43
AR,8.23
AT,8.19
AV,6.04
BA,12.47
BG,14.09
BI,9.14
BL,7.18
BN,7.52
BO,16.01
BR,8.85
BS,12.27
BT,5.3
BZ,2.27
CA,10.26
CB,7.57
CE,8.59
CH,8.73
CL,4.4
CN,11.12
CO,10.67
CR,9.69
CS,9.86
CT,10.59
CZ,8.04
EN,7.07
FC,11
FE,8.14
FG,6.06
FI,13.86
FM,6.42
FR,7.77
GE,13.18
GO,7.47
GR,7.1
IM,5.58
IS,7.17
KR,5.18
LC,11.3
LE,8.91
LI,7.42
LO,7.71
LT,9.41
LU,9.7
MB,14.62
MC,5.75
ME,9.01
MI,25.18
MN,10.96
MO,12.27
MS,7.3
MT,6.37
NA,15.51
NO,9.43
NU,1.65
OR,2.73
PA,9.48
PC,9.38
PD,14.08
PE,8.46
PG,11.15
PI,12.35
PN,10.49
PO,9.43
PR,13.48
PT,6.53
PU,8.02
PV,9.1
PZ,11.18
RA,10.81
RC,11.9
RE,13.39
RG,6.45
RI,7.27
RM,24.84
RN,8.04
RO,10.78
SA,10.42
SI,9.63
SO,8.2
SP,6.63
SR,6.65
SS,4.17
SV,8.29
TA,9.41
TE,9
TN,13.57
TO,20.28
TP,5.37
TR,9.52
TS,13.76
TV,14.41
UD,11.37
VA,12.83
VB,4.72
VC,8.18
VE,11.39
VI,11.73
VR,15.25
VT,7
VV,5.25
