provincia,numero_jobs
BG,5550
BA,2230
BL,752
-,199
BN,492
BO,7385
BI,842
BT,264
BR,802
BS,6718
BZ,88
RE,1001
RG,465
RA,1786
RC,42
RM,13414
RN,1605
RO,807
RI,523
GR,676
GE,1957
GO,736
OR,293
PR,3019
PV,1627
PT,1011
PU,1272
PZ,510
PC,1407
PA,1160
PG,1695
PD,6972
PE,1040
PI,1749
PN,2211
PO,1219
EN,283
ME,588
MC,1008
MB,3721
MO,4629
MN,2136
MI,24406
MT,518
MS,315
VT,671
FR,811
FC,964
FE,1277
FG,693
FI,5420
FM,483
NO,1537
NA,4436
UD,2286
NU,303
CH,733
CO,2427
CN,1853
CL,318
CB,423
CA,955
CE,1280
CZ,448
CS,730
CR,1847
CT,1360
SS,480
SR,436
SP,588
SV,796
KR,309
SI,1059
SO,683
SA,1363
LE,1134
LC,1956
TV,5664
LO,1090
TR,704
TS,1301
TP,428
LI,971
TN,1628
TO,8121
LT,1063
LU,1525
TE,811
TA,797
VA,4568
VB,445
VC,807
VE,4108
AG,394
VI,4963
IS,279
AL,1132
AO,454
AN,1610
AQ,28
AP,638
VR,4885
AR,1154
IM,538
AT,806
VV,324
AV,596
